Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C1,C_0603_1608Metric,C125205,1
150,R2,R_0402_1005Metric,C25082,1
1k,R1,R_0402_1005Metric,C25543,1
Conn_01x03_Pin,J1,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101,1
Conn_01x04_Pin,J2,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C265102,1
Conn_01x06_Pin,J3,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405,1
LED,D2,LED_0603_1608Metric,C2290,1
MT6835GT_STD,U1,TSSOP-16_4.4x5mm_P0.65mm,C2932578,1
SMAJ6.0A,D1,D_SMA,C110522,1
Conn_01x01_Pin,,PinHeader_1x01_P2.54mm_Vertical,,0
