Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,153.225,-106.35,-90.0,top
D1,SMAJ6.0A,D_SMA,150.25,-107.7,-90.0,top
D2,LED,LED_0603_1608Metric,147.675,-87.85,180.0,top
J1,Conn_01x03_Pin,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,140.5,-101.575,90.0,bottom
J2,Conn_01x04_Pin,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,159.5,-102.025,270.0,bottom
J3,Conn_01x06_Pin,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,150.8,-90.4,180.0,bottom
J4,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,143.2,-110.975,0.0,bottom
R1,1k,R_0402_1005Metric,144.3,-100.6,90.0,top
R2,150,R_0402_1005Metric,151.125,-87.825,0.0,top
U1,MT6835GT_STD,TSSOP-16_4.4x5mm_P0.65mm,150.0,-100.0,0.0,top
